ProjectID,BuildingID,ReportingConstructionType,Borough,Block,Lot,BIN,HouseNumber,StreetName,CountedRentalUnits,CountedHomeownershipUnits,AllCountedUnits,TotalBuildingUnits,BaseSquareFootage,Stories,BBL,Community Board,Council District,Census Tract,NTA,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Postcode
59946,37892,Preservation,1,1594,65,1051405,52,WEST 111 STREET,25,0,25,25,10000,5,1015940065,10,9,186,MN11,40.798152,-73.950407,40.798152,-73.950407,10026
48683,18986,Preservation,1,1610,9,1051500,21,EAST 104 STREET,0,0,0,36,4400,6,1016100009,11,8,168,MN33,40.792638,-73.951231,40.792638,-73.951231,10029
59474,18986,Preservation,1,1610,9,1051500,21,EAST 104 STREET,36,0,36,36,0,6,1016100009,11,8,168,MN33,40.792638,-73.951231,40.792638,-73.951231,10029
48683,18990,Preservation,1,1610,13,1051501,29,EAST 104 STREET,0,0,0,34,4400,6,1016100013,11,8,168,MN33,40.792536,-73.950992,40.792536,-73.950992,10029
59474,18990,Preservation,1,1610,13,1051501,29,EAST 104 STREET,34,0,34,34,0,6,1016100013,11,8,168,MN33,40.792536,-73.950992,40.792536,-73.950992,10029
58891,24685,Preservation,1,1614,14,1051581,1618,MADISON AVENUE,8,0,8,8,0,5,1016140014,11,9,17401,MN33,40.795008,-73.948495,40.795008,-73.948495,10029
58891,19235,Preservation,1,1614,57,1051587,26,EAST 109 STREET,14,0,14,14,0,5,1016140057,11,9,17401,MN33,40.795722,-73.948545,40.795722,-73.948545,10029
58891,19233,Preservation,1,1614,58,1051588,24,EAST 109 STREET,15,0,15,15,0,5,1016140058,11,9,17401,MN33,40.795741,-73.948592,40.795741,-73.948592,10029
58891,19231,Preservation,1,1614,60,1051589,22,EAST 109 STREET,15,0,15,15,0,5,1016140060,11,9,17401,MN33,40.79576,-73.948635,40.79576,-73.948635,10029
58891,19221,Preservation,1,1614,62,1051591,18,EAST 109 STREET,10,0,10,10,0,5,1016140062,11,9,17401,MN33,40.795799,-73.948726,40.795799,-73.948726,10029
58891,19208,Preservation,1,1614,63,1051592,16,EAST 109 STREET,10,0,10,10,9154,5,1016140063,11,9,17401,MN33,40.795818,-73.948769,40.795818,-73.948769,10029
58891,19198,Preservation,1,1615,9,1051598,11,EAST 109 STREET,24,0,24,24,0,6,1016150009,11,9,17401,MN33,40.79587,-73.948848,40.79587,-73.948848,10029
58891,19200,Preservation,1,1615,10,1051599,15,EAST 109 STREET,24,0,24,24,0,6,1016150010,11,9,17401,MN33,40.795832,-73.948758,40.795832,-73.948758,10029
58891,19299,Preservation,1,1615,60,1051606,18,EAST 110 STREET,60,0,60,60,0,5,1016150060,11,9,17401,MN33,40.796435,-73.948274,40.796435,-73.948274,10029
64027,988996,New Construction,1,1617,20,1000000,60,EAST 112 STREET,276,0,276,276,30696,15,1016170020,11,8,17402,MN33,40.796931,-73.945507,40.796931,-73.945507,10029
64027,990498,New Construction,1,1617,20,1000000,75,EAST 111 STREET,85,0,85,85,9921,10,1016170020,11,8,17402,MN33,40.79636,-73.946114,40.79636,-73.946114,10029
58658,19615,Preservation,1,1621,65,1051658,12,EAST 116 STREET,10,0,10,10,0,5,1016210065,11,9,184,MN34,40.800422,-73.945908,40.800422,-73.945908,10029
58658,2544,Preservation,1,1621,71,1051662,1411,5 AVENUE,8,0,8,8,0,5,1016210071,11,9,184,MN34,40.800371,-73.946663,40.800371,-73.946663,10029
55428,805037,Preservation,1,1622,17,1080650,1772,MADISON AVENUE,80,0,80,80,0,,1016220017,11,9,184,MN34,40.800312,-73.944623,40.800312,-73.944623,10035
59474,26271,Preservation,1,1625,71,1078908,1265,PARK AVENUE,10,0,10,10,0,5,1016250071,11,5,15802,MN33,40.787632,-73.951758,40.787632,-73.951758,10029
59474,23936,Preservation,1,1627,21,1051756,1555,LEXINGTON AVENUE,9,0,9,9,0,5,1016270021,11,5,166,MN33,40.788018,-73.949353,40.788018,-73.949353,10029
59474,23935,Preservation,1,1627,22,1051757,1553,LEXINGTON AVENUE,9,0,9,9,0,5,1016270022,11,5,166,MN33,40.787955,-73.9494,40.787955,-73.9494,10029
59474,18779,Preservation,1,1628,2,1051782,103,EAST 100 STREET,9,0,9,9,0,5,1016280002,11,8,166,MN33,40.788954,-73.950284,40.788954,-73.950284,10029
59474,26274,Preservation,1,1628,4,1051784,1325,PARK AVENUE,18,0,18,18,0,5,1016280004,11,8,166,MN33,40.789297,-73.950525,40.789297,-73.950525,10029
59474,18783,Preservation,1,1628,6,1051786,111,EAST 100 STREET,51,0,51,51,0,5,1016280006,11,8,166,MN33,40.788883,-73.95011,40.788883,-73.95011,10029
59474,18784,Preservation,1,1628,10,1051790,119,EAST 100 STREET,20,0,20,20,0,5,1016280010,11,8,166,MN33,40.788809,-73.949937,40.788809,-73.949937,10029
58658,18802,Preservation,1,1628,32,1051802,195,EAST 100 STREET,8,0,8,8,0,4,1016280032,11,8,166,MN33,40.787902,-73.947789,40.787902,-73.947789,10029
59474,18849,Preservation,1,1628,49,1051812,178,EAST 101 STREET,10,0,10,10,0,5,1016280049,11,8,166,MN33,40.788673,-73.947716,40.788673,-73.947716,10029
59474,18781,Preservation,1,1628,103,1051825,107,EAST 100 STREET,17,0,17,17,0,5,1016280103,11,8,166,MN33,40.788919,-73.950197,40.788919,-73.950197,10029
59474,18848,Preservation,1,1629,30,1051847,177,EAST 101 STREET,38,0,38,38,0,6,1016290030,11,8,166,MN33,40.788706,-73.947752,40.788706,-73.947752,10029
59474,18872,Preservation,1,1629,64,1051860,116,EAST 102 STREET,9,0,9,9,0,5,1016290064,11,8,166,MN33,40.790068,-73.949069,40.790068,-73.949069,10029
59474,18870,Preservation,1,1629,65,1051861,114,EAST 102 STREET,9,0,9,9,0,5,1016290065,11,8,166,MN33,40.790085,-73.949113,40.790085,-73.949113,10029
52693,18971,Preservation,1,1631,49,1051937,164,EAST 104 STREET,0,0,0,8,0,4,1016310049,11,8,166,MN33,40.79075,-73.946808,40.79075,-73.946808,10029
52693,23979,Preservation,1,1631,50,1051938,1645,LEXINGTON AVENUE,0,0,0,7,0,4,1016310050,11,8,166,MN33,40.790745,-73.947361,40.790745,-73.947361,10029
58891,19024,Preservation,1,1632,46,1051974,162,EAST 105 STREET,5,0,5,5,0,4,1016320046,11,8,166,MN33,40.791305,-73.946161,40.791305,-73.946161,10029
58891,24002,Preservation,1,1634,24,1052025,1691,LEXINGTON AVENUE,6,0,6,6,0,4,1016340024,11,8,172,MN33,40.792397,-73.946157,40.792397,-73.946157,10029
51868,977499,New Construction,1,1635,16,1000000,1465,PARK AVENUE,400,0,400,400,51029,16,1016350016,11,8,172,MN33,40.793822,-73.947225,40.793822,-73.947225,10029
58658,19358,Preservation,1,1638,48,1052187,162,EAST 111 STREET,7,0,7,7,0,3,1016380048,11,8,172,MN33,40.795209,-73.943435,40.795209,-73.943435,10029
61967,19431,Preservation,1,1639,62,1052223,124,EAST 112 STREET,57,0,57,57,4423,7,1016390062,11,8,172,MN33,40.79631,-73.944059,40.79631,-73.944059,10029
48765,19506,Preservation,1,1643,8,1052233,117,EAST 115 STREET,0,0,0,21,4423,6,1016430008,11,8,182,MN34,40.79839,-73.943176,40.79839,-73.943176,10029
